X_PS,Y_PS,Surface,Bouguer_HP,Magnetics_merged,Magnetics_10km_LP30,Lon,Lat
-322951.48314806,1565825.37326592,2047.9697265625,10.1377235025581,-34.1691602071126,-27.7690162658691,-11.6538405858343,-75.3622674823296
-313165.074567816,1565825.37326592,2102.17456054688,11.7026407993104,17.5332145690918,8.86621475219727,-11.3099324740202,-75.3799176999803
-303378.665987571,1565825.37326591,2137.32177734375,16.9450196951748,24.1284300486247,35.0349731445313,-10.9651966851379,-75.3970460481907
-293592.257407328,1565825.37326592,2186.46630859375,20.7977401482186,19.0661067962647,22.5137195587158,-10.6196552761551,-75.413650608295
-283805.848827083,1565825.37326591,2264.8984375,18.6723996161169,-2.49057245254517,-3.6741783618927,-10.2733306416293,-75.4297295117717
-274019.440246839,1565825.37326592,2338.41430664063,16.3386801913797,-14.186375617981,-25.5515956878662,-9.92624550665171,-75.445280941204
-264233.031666594,1565825.37326591,2350.64306640625,15.1540393492489,-28.3486963907878,-38.5925750732422,-9.57842291946074,-75.4603031312219
-254446.623086351,1565825.37326591,2371.57275390625,14.8009599355365,-31.5958824157715,-26.7441673278809,-9.22988624372772,-75.4747943694235
-244660.214506106,1565825.37326592,2381.60131835938,14.3175412790058,-0.608026981353822,2.29094314575195,-8.88065915052024,-75.4887529972758
-234873.805925862,1565825.37326591,2391.48999023438,14.0978389287679,10.8575836817424,16.8066062927246,-8.53076560994813,-75.502177410993
-225087.397345617,1565825.37326591,2449.2861328125,15.4095784583378,11.7914142608643,4.04838895797729,-8.18022988249752,-75.5150660623916
-215300.988765372,1565825.37326591,2472.048828125,17.0994688241156,-29.5544815063476,-28.6517372131348,-7.82907651005961,-75.5274174597217
-205514.580185129,1565825.37326591,2484.68920898438,18.2825215846746,-52.5748443603516,-53.9084014892578,-7.4773303066608,-75.5392301684724
-195728.171604885,1565825.37326591,2515.27172851563,20.2951391419161,-43.6249198913574,-40.1615562438965,-7.1250163489018,-75.5505028121513
-185941.763024641,1565825.37326591,2519.05834960938,20.1523617553268,-4.11272748311368,-3.24773025512695,-6.77215996611356,-75.5612340730367
-176155.354444397,1565825.37326591,2526.330078125,16.46687774134,35.0501581827799,26.0938606262207,-6.41878673023879,-75.5714226929018
-166368.945864151,1565825.37326591,2560.45678710938,12.8868769105659,44.6609878540039,51.7573356628418,-6.06492244544796,-75.5810674737095
-156582.537283907,1565825.37326591,2572.82543945313,11.0462043288485,47.3195190429688,55.3837928771973,-5.71059313749964,-75.5901672782775
-146796.128703663,1565825.37326591,2586.9130859375,8.42676267306885,30.9050559997559,12.7503471374512,-5.35582504285519,-75.5987210309127
-137009.720123419,1565825.37326591,2586.34936523438,6.22557052844041,-23.7097702026367,-21.4289569854736,-5.00064459755843,-75.6067277180133
-127223.311543175,1565825.37326591,2610.009765625,3.89209929191246,-18.4531110127767,-8.47293567657471,-4.64507842589161,-75.6141863886397
-117436.90296293,1565825.37326591,2619.61157226563,-0.952871973936696,-36.6071281433105,-7.24796152114868,-4.28915332881902,-75.621096155051
-107650.494382687,1565825.37326591,2628.7119140625,-0.764058977724573,-45.8741226196289,-34.1536445617676,-3.93289627223054,-75.6274561932081
-97864.0858024425,1565825.37326591,2650.03466796875,1.96573480795133,-36.9036865234375,-33.1939315795898,-3.57633437499735,-75.6332657432428
-88077.6772221985,1565825.37326591,2664.17456054688,2.20379711941719,-14.9322570165,-18.7099227905273,-3.21949489685283,-75.6385241098913
-78291.2686419534,1565825.37326591,2678.77685546875,0.263711876335507,-6.94607973098755,-42.6746788024902,-2.86240522611175,-75.6432306628914
-68504.86006171,1565825.37326591,2689.47607421875,0.00503092746103079,-114.675120035807,-85.1406555175781,-2.5050928672414,-75.6473848373449
-58718.4514814651,1565825.37326591,2699.60229492188,0.344956033675523,-111.01399230957,-107.340133666992,-2.1475854282985,-75.6509861340415
-48932.042901221,1565825.37326591,2723.79858398438,-0.878965149888422,-88.0642700195313,-101.914932250977,-1.78991060824607,-75.6540341197475
-39145.6343209772,1565825.37326591,2744.38842773438,-4.15991975719861,-77.2689361572266,-73.9435577392578,-1.43209618416465,-75.6565284274548
-29359.2257407324,1565825.37326591,2775.10205078125,-6.3397741627842,-65.3012415568034,-51.2924003601074,-1.07416999837262,-75.658468756594
-19572.8171604888,1565825.37326591,2796.57958984375,-8.67387523269044,-48.6741333007813,-50.4095726013184,-0.716159945470409,-75.6598548732078
-9786.40858024444,1565825.37326591,2809.076171875,-9.79413539789846,-46.1151275634765,-45.1637420654297,-0.358093959323571,-75.6606866100871
0,1565825.37326591,2820.82543945313,-8.16590869998342,-49.5940780639649,-37.5018005371094,0,-75.6609638668672
9786.40858024423,1565825.37326591,2831.35913085938,-5.40222612166547,-39.5004463195801,-51.5381889343262,0.358093959323571,-75.6606866100871
19572.8171604884,1565825.37326591,2854.2236328125,-3.37054096522465,-41.3885637919108,-50.7990837097168,0.716159945470409,-75.6598548732078
29359.2257407327,1565825.37326591,2876.369140625,-3.6031736129657,-6.71591774622613,-6.6281909942627,1.07416999837262,-75.658468756594
39145.6343209769,1565825.37326591,2893.025390625,-3.80224376538244,30.3467273712158,26.2436103820801,1.43209618416465,-75.6565284274548
48932.0429012212,1565825.37326591,2902.63330078125,-5.75888164974028,6.74027856190993,14.449501991272,1.78991060824607,-75.6540341197475
58718.4514814654,1565825.37326591,2919.10620117188,-11.8847467713244,-3.3737651507059,-0.765373945236206,2.1475854282985,-75.6509861340415
68504.8600617096,1565825.37326591,2942.8447265625,-16.6111494261739,14.7680835723877,3.23892855644226,2.5050928672414,-75.6473848373449
78291.2686419538,1565825.37326591,2956.65063476563,-22.4740384272096,15.2354297637941,7.76064872741699,2.86240522611175,-75.6432306628914
88077.6772221981,1565825.37326591,2972.1552734375,-28.8981455947212,-6.25943438212071,9.14050769805908,3.21949489685283,-75.6385241098913
97864.0858024423,1565825.37326591,2989.26684570313,-35.6671660931748,1.17560911178589,20.1626148223877,3.57633437499735,-75.6332657432428
107650.494382686,1565825.37326591,3010.77685546875,-42.4044918321113,37.8265457153318,43.8523178100586,3.93289627223054,-75.6274561932081
117436.902962931,1565825.37326591,3036.90161132813,-45.7495335959936,55.5052528381347,72.6465148925781,4.28915332881902,-75.621096155051
127223.311543175,1565825.37326591,3055.04858398438,-44.2866586963988,108.824897766113,98.6649475097656,4.64507842589161,-75.6141863886397
137009.720123419,1565825.37326591,3067.01782226563,-37.8412580018974,105.342979431152,116.359031677246,5.00064459755843,-75.6067277180133
146796.128703663,1565825.37326591,3080.41772460938,-32.3738798910343,101.279332478841,114.901565551758,5.35582504285519,-75.5987210309127
156582.537283908,1565825.37326591,3092.57299804688,-28.7266527747083,126.492462158203,93.3114013671875,5.71059313749964,-75.5901672782775
166368.945864152,1565825.37326591,3118.56323242188,-29.2868753585413,67.9361038208011,80.1043548583984,6.06492244544796,-75.5810674737095
176155.354444396,1565825.37326591,3137.11669921875,-25.1210015466241,77.1042658487954,90.5561141967773,6.41878673023879,-75.5714226929018
185941.76302464,1565825.37326591,3155.65063476563,-20.7118899201011,92.7109146118164,90.7491302490234,6.77215996611356,-75.5612340730367
195728.171604885,1565825.37326591,3166.72827148438,-21.8127790641074,42.891639709473,53.6039848327637,7.1250163489018,-75.5505028121513
205514.580185129,1565825.37326591,3175.34936523438,-28.0744829848341,1.08764725923543,4.48098421096802,7.4773303066608,-75.5392301684724
215300.988765373,1565825.37326591,3190.12646484375,-29.3253295999218,-21.8398780822754,-17.7923393249512,7.82907651005961,-75.5274174597217
225087.397345617,1565825.37326591,3204.1025390625,-23.283154792027,-1.24266928434389,-7.25600337982178,8.18022988249752,-75.5150660623916
234873.805925862,1565825.37326591,3222.65502929688,-17.0756692680085,7.72285318374634,6.99077796936035,8.53076560994813,-75.502177410993
244660.214506106,1565825.37326592,3240.58154296875,-16.3111068727247,5.43866300582886,2.27497839927673,8.88065915052024,-75.4887529972758
254446.62308635,1565825.37326591,3260.52465820313,-10.687599706426,-1.71501334508259,-1.37166833877563,9.22988624372772,-75.4747943694235
264233.031666595,1565825.37326591,3275.29150390625,-8.2209524224434,15.1760425567627,14.5866441726685,9.57842291946074,-75.4603031312219
274019.440246839,1565825.37326592,3283.84814453125,-8.91382763461566,14.4143400192261,24.0684413909912,9.92624550665171,-75.445280941204
283805.848827083,1565825.37326591,3304.55834960938,-9.91140824884267,14.2786474227905,12.6523132324219,10.2733306416293,-75.4297295117717
293592.257407328,1565825.37326592,3314.82543945313,-21.2431356131775,17.1797510782878,7.80917930603027,10.6196552761551,-75.413650608295
303378.665987572,1565825.37326591,3328.02758789063,-24.2789214432266,19.5824928283691,21.3627338409424,10.9651966851379,-75.3970460481907
313165.074567816,1565825.37326592,3342.01928710938,-18.4547964149505,26.225138982137,33.648494720459,11.3099324740202,-75.3799176999803
322951.483148061,1565825.37326592,3345.95141601563,-11.5485144086031,31.8883450826009,27.0926628112793,11.6538405858343,-75.3622674823296
332737.891728305,1565825.37326592,3364.73779296875,-9.96807880196729,9.55859565734863,5.91340637207031,11.9968993079236,-75.3440973630701
342524.300308549,1565825.37326592,3377.39819335938,-8.22258041934835,2.12006075183539,3.41950106620789,12.3390872783262,-75.3254093582039
352310.708888793,1565825.37326592,3383.56884765625,-8.07487891670602,63.8203455607095,29.7824630737305,12.6803834918198,-75.3062055308928
362097.117469038,1565825.37326592,3393.29125976563,-6.20143996688063,-13.1279191970825,32.97705078125,13.0207673056247,-75.2864879904331
371883.526049283,1565825.37326592,3407.72924804688,-8.78983124060274,25.2118021647133,5.2527117729187,13.3602184447645,-75.2662588912169
381669.934629527,1565825.37326592,3412.6123046875,-15.0755044023745,8.20414018630989,21.6512928009033,13.6987170070845,-75.2455204316809
391456.343209771,1565825.37326592,3424.45629882813,-21.7353091467654,68.9364624023438,78.7383651733398,14.0362434679265,-75.2242748532442
401242.751790015,1565825.37326592,3440.48559570313,-20.0159662114453,200.078893025717,85.0305786132813,14.3727786844619,-75.2025244392364
411029.16037026,1565825.37326592,3448.82543945313,-31.441627349333,1.79247951507606,45.0038681030273,14.7083038996827,-75.1802715138162
420815.568950504,1565825.37326592,3452.81567382813,-23.3402296831272,38.5792541503906,33.5673065185547,15.0428007460538,-75.157518440882
-322951.483148061,1575611.78184616,2061.92211914063,5.10758711487607,-40.8939666748047,-26.3237857818604,-11.5834186046871,-75.2754258259642
-313165.074567816,1575611.78184616,2123.46264648438,7.53002816727369,1.55368566513062,1.02267146110535,-11.2414787676265,-75.2929674288464
-303378.665987573,1575611.78184616,2152.71044921875,13.1417137079609,16.271577835083,16.230432510376,-10.8987258057529,-75.3099901298968
-293592.257407328,1575611.78184616,2207.275390625,15.9148209432589,17.905217912462,7.21496248245239,-10.5551814329488,-75.3264920434796
-283805.848827083,1575611.78184616,2307.85229492188,15.5251759809536,-4.5390559832255,-4.22662544250488,-10.2108676910779,-75.3424713333675
-274019.44024684,1575611.78184616,2364.77709960938,16.7022075590935,-29.8423771328396,-13.1015739440918,-9.86580694308437,-75.3579262136757
