X_PS,Y_PS,BED_filt,moho_calc_250,Lon,Lat
-687005.882333137,1241895.24925981,231.166305541992,-33319.65488,-28.9509952074668,-76.9915831438185
-677219.473752894,1241895.24925981,330.720916748047,-33416.4432,-28.604132485878,-77.0344117375684
-667433.06517265,1241895.24925982,366.186248779297,-33504.09968,-28.2549644047944,-77.0767693494861
-657646.656592404,1241895.24925981,328.197479248047,-33581.57584,-27.9034940981017,-77.1186511344589
-647860.24801216,1241895.24925981,253.543258666992,-33650.16,-27.5497254341707,-77.1600522395484
-638073.839431916,1241895.24925981,197.269271850586,-33711.10432,-27.1936630330641,-77.2009678056785
-628287.430851672,1241895.24925981,190.480392456055,-33766.01248,-26.8353122835721,-77.241392969378
-618501.022271427,1241895.24925981,218.512069702148,-33815.9608,-26.4746793600448,-77.2813228645787
-608714.613691182,1241895.24925981,237.563339233398,-33861.23296,-26.1117712389882,-77.3207526244674
-598928.205110938,1241895.24925981,215.791793823242,-33901.04096,-25.7465957153894,-77.3596773833934
-589141.796530696,1241895.24925981,163.944381713867,-33935.03328,-25.3791614187361,-77.3980922788287
-579355.38795045,1241895.24925981,128.708251953125,-33962.84512,-25.0094778286941,-77.4359924533834
-569568.979370206,1241895.24925981,152.904541015625,-33982.73328,-24.6375552904061,-77.4733730568729
-559782.570789961,1241895.24925981,234.858825683594,-33993.83728,-24.2634050293728,-77.5102292484377
-549996.162209718,1241895.24925981,321.114440917969,-33994.62128,-23.8870391658797,-77.5465561987147
-540209.753629474,1241895.24925981,340.286437988281,-33983.90096,-23.5084707289286,-77.582349092059
-530423.34504923,1241895.24925981,252.95654296875,-33960.97328,-23.1277136696349,-77.617603128815
-520636.936468985,1241895.24925981,80.0307922363281,-33926.25296,-22.7447828740502,-77.6523135276353
-510850.527888742,1241895.24925981,-110.438369750977,-33879.2088,-22.3596941753694,-77.6864755278467
-501064.119308497,1241895.24925981,-245.700973510742,-33820.69664,-21.9724643654811,-77.7200843918612
-491277.710728253,1241895.24925981,-287.568389892578,-33752.28864,-21.5831112058206,-77.7531354076307
-481491.302148008,1241895.24925981,-243.084075927734,-33676.58848,-21.1916534374841,-77.7856238911432
-471704.893567765,1241895.24925981,-146.952301025391,-33596.31248,-20.7981107905619,-77.8175451889592
-461918.484987521,1241895.24925981,-36.9602279663086,-33514.74432,-20.4025039926512,-77.8488946807849
-452132.076407276,1241895.24925981,57.3522758483887,-33435.24032,-20.0048547765067,-77.8796677820823
-442345.667827031,1241895.2492598,111.23770904541,-33362.69632,-19.6051858867883,-77.909859946711
-432559.259246788,1241895.24925981,101.321914672852,-33300.68448,-19.2035210858676,-77.9394666696011
-422772.850666544,1241895.24925981,14.7363109588623,-33253.30416,-18.7998851586527,-77.9684834894545
-412986.442086299,1241895.24925981,-134.507278442383,-33223.99648,-18.3943039163942,-77.99690599147
-403200.033506055,1241895.24925981,-301.179443359375,-33217.04048,-17.9868041994353,-78.0247298100916
-393413.624925811,1241895.24925981,-429.520904541016,-33234.65664,-17.5774138788695,-78.0519506317753
-383627.216345567,1241895.2492598,-488.916381835938,-33278.19648,-17.1661618570723,-78.0785641977717
-373840.807765323,1241895.24925981,-496.298614501953,-33348.45264,-16.7530780670729,-78.1045663069206
-364054.399185079,1241895.24925981,-503.233062744141,-33446.1768,-16.3381934707366,-78.1299528184555
-354267.990604834,1241895.2492598,-554.170104980469,-33569.54464,-15.9215400557257,-78.1547196548118
-344481.582024591,1241895.2492598,-649.058654785156,-33715.3488,-15.5031508312143,-78.1788628044381
-334695.173444346,1241895.2492598,-743.034118652344,-33881.0488,-15.0830598223299,-78.2023783246041
